CD,Town,Clinton,Trump,Total,Clinton%,Trump%
,Roxbury,765,638,"1,474",51.90%,43.28%
,Salisbury,"1,671",545,"2,327",71.81%,23.42%
,Sharon,820,521,"1,416",57.91%,36.79%
,Sherman,976,"1,065","2,136",45.69%,49.86%
,Simsbury,"7,825","5,357","13,941",56.13%,38.43%
,Southbury,"5,013","6,100","11,563",43.35%,52.75%
,Thomaston,"1,152","2,616","3,970",29.02%,65.89%
,Torrington (pt.),"3,052","4,306","7,769",39.28%,55.43%
,Warren,352,451,854,41.22%,52.81%
,Washington,"1,242",738,"2,078",59.77%,35.51%
,Waterbury (pt.),"16,687","10,021","27,529",60.62%,36.40%
,Watertown,"3,732","7,730","11,884",31.40%,65.05%
,Wolcott,"2,575","6,192","9,087",28.34%,68.14%
,Woodbury,"2,466","3,171","5,865",42.05%,54.07%
5 Total,,"161,142","147,901","322,737",49.93%,45.83%
Grand Total,,"897,572","673,215","1,642,304",54.65%,40.99%
