District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Arizona's 7th,AZ-07,Democratic,Raúl,Grijalva,(ra-OOL gree-HAL-vuh) [Rs are trilled],/ræ.'ul gri.'hæl.və/,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,65.6,32.9,63.4,29.8,64.4,35.4,0,0,,,,,,32.9,55.5,4.9,3.0,5.8,0.4,36.7,53.0,4.3,2.0,3.7,0.1,"$52,555",417,"$57,062",425,20.9 ,407 ,33.1 ,277 ,24.6,344 ,15,"296,840","194,860","97,580","236,125","149,723","70,427","196,218","126,418","69,444",0,0,356,,,,,,,"794,611","226,110","475,267","43,752","23,815","49,322","3,173","601,175","197,763","333,554","29,754","18,143","35,015","2,162","536,070","196,740","283,955","23,085","10,745","19,785",720,"502,647","104,943","169,788","56,125"
Arizona's 8th,AZ-08,Republican,Debbie,Lesko,(DEH-bee LES-koh),/'dɛ.bi 'lɛs.koʊ/,2018 Special,1958,Woman,White,Christian - Protestant,No,Re-elected,42.5,56.1,37.2,56.1,0,92,0,0,,,,,,68.6,18.1,5.4,5.3,3.0,0.4,72.8,16.6,4.5,3.8,1.8,0.1,"$79,042",170,"$81,589",212,31.5 ,225 ,33.4 ,270 ,48.5,155 ,16,"402,630","171,266","225,761","313,776","116,708","176,019","215,049",0,"197,555",0,0,"17,494",,,,,,,"794,610","510,902","168,012","50,344","46,829","26,290","3,572","628,985","431,740","113,766","33,748","33,420","18,558","2,272","584,000","425,415","96,790","26,470","22,255","10,675",595,"561,893","177,031","398,024","133,012"
Arizona's 9th,AZ-09,Republican,Paul,Gosar,(PAWL GOH-sahr),/pɔl 'goʊ.sɑɹ/,2010,1958,Man,White,Christian - Roman Catholic,No,Re-elected,36.4,62.2,32.3,61.4,0,93,0,0,,,,,,62.3,25.8,5.2,3.5,3.7,0.5,65.3,24.9,4.9,2.3,2.1,0.3,"$73,310",216,"$72,163",295,21.8 ,399 ,23.7 ,410 ,49.8,145 ,17,"363,126","132,165","225,719","255,099","82,457","156,561","207,448",0,"192,796",0,0,"14,652",,,,,,,"794,612","456,611","237,548","48,379","29,914","32,296","4,710","609,223","379,415","157,245","31,786","21,156","22,742","3,165","588,780","384,465","146,470","28,670","13,330","12,295","1,485","559,726","121,788","360,107","85,495"
California's 1st,CA-01,Republican,Doug,LaMalfa,(DUHG luh-MAL-fuh),/dʌg lə.'mæl.fə/,2012,1960,Man,White,Christian - Protestant,No,Re-elected,39.2,58.3,35.6,57.4,37.9,62.1,0,0,,,,,,65.3,19.5,2.7,6.7,6.0,0.7,72.1,16.1,2.6,5.3,3.2,0.3,"$64,471",312,"$65,445",373,22.7 ,384 ,25.3 ,392 ,53.8,110 ,22,"348,189","136,550","203,077","297,539","106,000","170,897","246,225","93,386","152,839",0,0,0,,,,,,,"760,066","470,764","168,674","22,045","54,955","49,322","5,439","592,603","387,123","115,742","15,965","39,916","35,585","3,893","556,565","401,340","89,785","14,705","29,500","17,860","1,440","516,003","116,971","357,216","90,541"
California's 2nd,CA-02,Democratic,Jared,Huffman,(JAIR-ed HUHF-muhn),/'dʒɛ.ɹəd 'hʌf.mən/,2012,1964,Man,White,Humanist,No,Re-elected,73.5,24.0,68.9,23.4,74.4,25.6,0,0,,,,,,68.4,17.9,2.6,5.9,5.4,0.6,76.9,12.4,2.3,4.8,2.9,0.2,"$92,721",81,"$95,474",117,42.3 ,93 ,47.4 ,106 ,40.4,233 ,23,"422,441","310,592","101,570","364,279","251,091","85,392","308,749","229,720","79,029",0,0,0,,,,,,,"760,067","494,857","155,391","19,225","49,662","44,891","5,023","614,494","420,290","110,048","15,735","36,448","33,169","3,672","568,050","436,580","70,590","13,045","27,215","16,300",900,"555,021","234,512","404,782","191,981"
California's 3rd,CA-03,Republican,Kevin,Kiley,(KEV-in KAHY-lee),/'kɛ.vɪn 'kaɪ.li/,2022,1985,Man,White,Christian - Protestant - Nondenominational,No,Open Seat - Ran in CA-05 after redistricting and won (Tom McClintock),47.9,49.7,42.5,50.3,46.4,53.6,0,0,,,,,,72.3,12.4,2.4,8.9,3.6,0.6,77.3,11.3,2.2,6.7,1.8,0.3,"$98,689",63,"$98,523",94,40.2 ,112 ,40.7 ,171 ,45.8,181 ,24,"442,451","211,790","219,762","349,009","148,225","175,609","338,199","156,761","181,438",0,0,0,,,,,,,"760,065","527,693","107,658","18,422","76,333","30,117","5,695","603,885","436,701","74,828","14,325","53,685","21,894","3,899","575,825","444,825","65,240","12,795","38,570","10,535","1,445","553,256","222,643","413,009","168,057"
California's 4th,CA-04,Democratic,Mike,Thompson,(MAHYK TAHMP-suhn),/maɪk 'tɑmp.sən/,1998,1951,Man,White,Christian - Roman Catholic,No,Re-elected,67.1,30.5,63.7,29.3,67.8,32.2,0,0,,,,,,55.3,27.5,4.1,10.0,4.0,0.8,63.4,22.1,3.8,8.3,1.5,0.3,"$87,319",113,"$92,854",134,35.4 ,165 ,41.9 ,157 ,36.8,263 ,25,"373,278","250,308","113,844","313,567","199,588","91,994","260,907","176,900","84,007",0,0,0,,,,,,,"760,065","391,914","238,697","31,307","78,334","32,399","7,134","611,312","338,179","168,374","24,962","61,291","24,417","5,141","546,040","345,960","120,605","21,015","45,105","8,060","1,665","522,074","184,771","313,277","131,156"
California's 5th,CA-05,Republican,Tom,McClintock,(TAHM mu-KLIN-tahk),/tɑm mə.'klɪn.tɑk/,2008,1956,Man,White,Christian - Protestant - Baptist,No,Re-elected,42.7,55.0,39.3,54.6,38.7,61.3,0,0,,,,,,63.0,22.3,3.1,7.6,4.4,0.9,68.2,20.6,3.0,5.6,1.9,0.4,"$84,734",130,"$88,838",168,30.2 ,253 ,32.6 ,284 ,46.0,180 ,26,"401,076","171,424","220,770","321,883","126,636","175,706","283,030","109,506","173,524",0,0,0,,,,,,,"760,065","451,671","193,669","24,900","63,007","35,287","7,228","599,484","377,863","133,798","18,592","45,747","26,338","5,449","561,785","383,075","115,710","16,600","31,685","10,640","2,000","536,584","161,877","356,786","116,138"
California's 6th,CA-06,Democratic,Ami,Bera,(AH-mee BAIR-uh),/'ɑ.mi 'bɛ.ɹə/,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,57.9,39.4,54.8,38.0,55.9,44.1,0,0,,,,,,51.1,20.3,11.1,14.7,3.8,1.5,55.4,18.2,11.5,12.1,1.5,0.6,"$80,409",160,"$84,011",194,29.3 ,269 ,31.6 ,304 ,37.9,256 ,27,"333,336","192,873","131,468","255,192","139,951","97,012","216,383","121,058","95,325",0,0,0,,,,,,,"760,066","358,160","174,324","92,636","117,030","29,297","12,161","577,524","295,331","117,424","64,045","84,712","22,178","8,749","517,475","286,650","93,975","59,415","62,855","7,910","3,105","514,001","150,704","276,226","87,163"
California's 7th,CA-07,Democratic,Doris,Matsui,(DAWR-is mat-SOO-ee),/'dɔ.ɹɪs mæt.'su.i/,2005 Special,1944,Woman,Asian - Japanese,Christian - Protestant - Methodist,No,Re-elected,67.4,30.3,66.3,27.7,68.3,31.7,0,0,,,,,,35.0,24.1,12.4,26.0,3.5,2.4,39.7,22.3,12.7,21.9,1.1,1.5,"$85,158",127,"$94,033",123,33.4 ,192 ,42.2 ,154 ,22.9,353 ,28,"339,420","228,897","102,737","261,124","173,116","72,303","220,651","150,618","70,033",0,0,0,,,,,,,"760,066","238,259","202,409","100,217","203,594","26,863","18,701","582,846","204,018","140,253","72,402","151,752","20,345","13,839","523,775","207,715","116,765","66,750","114,820","5,805","8,005","510,701","170,650","194,108","82,004"
