District,Code,Incumbent Party,Incumbent Name,,Pronunciation Guide,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ+ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2018-2022 ACS),,,,,,Median Household Income by Race (2018-2022 ACS),,,,Educational Attainment by Race for Adults Ages 25+ (2018-2022 ACS) ,,,,,,Sort by Full District Name,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2018-2022 ACS),,,,,,,Educational Attainment for Adults 25+ (2018-2022 ACS),,,
,,,First,Last,Phonetic,International Phonetic Alphabet,,,,,,,,Joe Biden,Donald Trump,Hillary Clinton,Donald Trump,Dem,Rep,Indie or Other Dem,Indie or Other Rep,Date,Dem,Rep,Indie or Other Dem,Indie or Other Rep,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Median Household Income,Income Rank,White Only Income,White Only Income Rank,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Total,Joe Biden,Donald Trump,Total,Hillary Clinton,Donald Trump,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,True Indie or 3rd Party,Total,Democratic,Republican,Independent or Other Democratic,Independent or Other Republican,Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Minnesota's 6th,MN-06,Republican,Tom,Emmer,(TAHM EM-er),/tɑm 'ɛ.məɹ/,2014,1961,Man,White,Christian - Roman Catholic,No,Re-elected,40.1,57.7,33.8,57.5,37.8,62.0,0,0,,,,,,86.8,3.0,4.3,3.5,1.6,0.1,90.4,2.2,3.6,2.8,0.8,0.0,"$95,930",74,"$98,358",95,34.5 ,176 ,35.0 ,249 ,58.7,72 ,217,"413,782","165,862","238,872","361,482","122,185","207,737","319,767","120,852","198,145",0,0,770,,,,,,,"713,312","599,561","26,489","41,293","28,577","12,815",917,"528,178","458,504","16,060","22,856","18,453","8,485",596,"521,140","471,010","11,650","18,765","14,735","4,130",150,"466,911","161,294","414,609","145,162"
Minnesota's 7th,MN-07,Republican,Michelle,Fischbach,(mi-SHEL FISH-bahk),/mɪ.'ʃɛl 'fɪʃ.bɑk/,2020,1965,Woman,White,Christian - Roman Catholic,No,Re-elected,32.5,65.7,29.3,63.2,27.6,66.9,0,0,,,,,,90.6,4.1,1.6,1.1,2.1,0.2,93.3,2.9,1.3,0.9,1.4,0.1,"$70,672",240,"$71,670",301,23.7 ,365 ,24.2 ,404 ,70.7,12 ,218,"395,801","128,550","260,007","364,235","106,539","230,294","305,866","84,455","204,766",0,0,"16,645",,,,,,,"713,312","628,503","37,738","16,383","9,584","18,421","1,514","544,716","493,732","22,080","8,837","5,994","11,372",890,"535,585","499,855","15,515","6,710","4,820","7,690",350,"486,695","115,507","448,304","108,612"
Minnesota's 8th,MN-08,Republican,Pete,Stauber,(PEET STAH-ber),/pit 'stɑ.bɜɹ/,2018,1966,Man,White,Christian - Roman Catholic,No,Re-elected,43.4,54.7,39.5,52.3,42.7,57.2,0,0,,,,,,89.3,1.5,1.6,1.2,5.6,0.1,91.6,1.5,1.3,1.0,4.5,0.0,"$69,868",249,"$71,177",306,26.8 ,312 ,27.5 ,356 ,66.4,32 ,219,"420,814","182,461","230,050","380,381","150,302","198,828","330,080","141,009","188,755",0,0,316,,,,,,,"713,312","620,371","13,630","14,736","10,168","49,238",953,"561,116","500,876","8,326","9,010","6,585","31,414",581,"560,560","513,200","8,575","7,310","5,330","25,345",145,"501,865","134,486","457,060","125,799"
Missouri's 1st,MO-01,Democratic,Cori,Bush,(KAWR-ee BOOSH),/'kɔ.ɹi bʊʃ/,2020,1976,Woman,Black,Christian - Protestant - Nondenominational,No,Re-elected,78.4,20.0,74.9,20.9,72.9,24.3,0,0,,,,,,44.3,4.0,45.4,4.7,1.8,0.1,47.9,2.5,46.1,2.5,0.8,0.0,"$57,762",381,"$74,677",268,36.2 ,158 ,49.3 ,89 ,24.3,345 ,224,"355,000","278,269","71,037","350,919","262,735","73,222","220,958","160,999","53,767",0,0,"6,192",,,,,,,"769,364","311,031","34,901","376,003","36,230","13,971",904,"609,403","269,712","24,298","276,602","28,909","10,854",674,"580,235","278,210","14,530","267,685","14,790","4,770",175,"530,057","191,900","251,754","124,071"
Missouri's 2nd,MO-02,Republican,Ann,Wagner,(AN WAG-ner),/æn 'wæg.nəɹ/,2012,1962,Woman,White,Christian - Roman Catholic,No,Re-elected,45.3,53.0,39.3,55.8,43.1,54.9,0,0,,,,,,86.0,2.7,3.7,5.1,1.8,0.1,90.6,2.0,3.3,3.4,0.5,0.0,"$96,915",68,"$97,742",98,48.7 ,47 ,48.2 ,101 ,47.0,167 ,225,"438,960","198,823","232,845","403,950","158,720","225,231","315,666","135,895","173,277",0,0,"6,494",,,,,,,"769,364","647,653","24,634","32,977","43,626","15,209",819,"598,975","515,223","15,934","21,993","30,458","10,994",542,"578,595","524,075","11,490","19,355","19,640","3,120",130,"538,418","262,470","469,196","225,932"
Missouri's 3rd,MO-03,Republican,Blaine,Luetkemeyer,(BLEYN LOOT-kuh-mahy-er),/bleɪn 'lut.kə.ˌmaɪ.əɹ/,2008,1960,Man,White,Christian - Roman Catholic,No,Re-elected,35.9,62.2,32.0,62.9,34.9,65.1,0,0,,,,,,86.2,2.8,5.3,2.5,2.5,0.1,89.8,2.1,5.4,1.7,0.9,0.1,"$75,478",193,"$76,550",251,34.5 ,177 ,34.2 ,261 ,59.1,70 ,226,"397,210","142,584","247,108","368,332","117,882","231,516","277,597","96,851","180,746",0,0,0,,,,,,,"769,364","650,510","25,268","47,096","20,924","20,139","1,269","601,259","518,582","16,694","31,568","14,850","14,859",823,"593,130","532,900","12,375","31,795","9,995","5,310",305,"522,409","180,107","463,270","158,542"
Missouri's 4th,MO-04,Republican,Mark,Alford,(MAHRK AWL-ferd),/mɑɹk 'ɔl.fəɹd/,2022,1963,Man,White,Christian - Protestant,No,Open Seat - Ran for Senate and lost in primary (Vicky Hartzler),29.3,68.7,26.6,68.2,26.3,71.3,0,0,,,,,,85.2,4.0,5.0,1.6,3.3,0.3,89.2,3.5,4.4,1.0,1.5,0.1,"$62,213",338,"$62,980",392,24.1 ,354 ,23.9 ,407 ,67.9,26 ,227,"374,598","109,920","257,315","336,769","89,546","229,813","255,079","67,069","181,890",0,0,"6,120",,,,,,,"769,364","641,000","37,040","45,589","13,948","26,597","2,962","589,494","502,063","23,774","29,530","9,692","19,517","1,844","585,605","522,395","20,625","25,935","6,000","8,975",405,"514,620","123,975","456,005","108,972"
Missouri's 5th,MO-05,Democratic,Emanuel,Cleaver,(ih-MAN-yoo-uhl KLEE-ver),/ɪ.'mæn.ju.ˌəl 'kli.vəɹ/,2004,1944,Man,Black,Christian - Protestant - Methodist,No,Re-elected,62.2,35.9,57.5,37.1,61.0,36.4,0,0,,,,,,61.9,9.5,22.4,3.2,3.1,0.4,67.5,6.1,22.8,2.0,1.2,0.3,"$61,184",354,"$70,007",324,33.2 ,195 ,39.0 ,193 ,41.1,223 ,228,"350,584","217,895","125,686","320,101","183,997","118,741","230,555","140,688","84,008",0,0,"5,859",,,,,,,"769,364","445,232","86,205","190,606","25,865","25,187","4,174","597,387","369,638","56,750","134,105","18,878","18,759","2,607","570,355","384,725","34,925","129,790","11,625","7,020","1,505","526,634","175,029","347,442","135,655"
Missouri's 6th,MO-06,Republican,Sam,Graves,(SAM GREYVZ),/sæm gɹeɪvz/,2000,1963,Man,White,Christian - Protestant - Baptist,No,Re-elected,30.6,67.7,28.3,66.6,27.5,70.3,0,0,,,,,,87.8,3.2,4.2,1.5,2.6,0.3,90.6,2.9,4.0,1.2,1.1,0.1,"$66,176",294,"$67,225",356,25.8 ,328 ,26.0 ,382 ,67.1,31 ,229,"377,863","115,548","255,727","347,070","98,150","231,163","262,892","72,253","184,865",0,0,"5,774",,,,,,,"769,364","663,432","29,400","37,873","12,632","20,970","2,658","588,295","516,577","18,642","24,667","8,558","15,441","1,582","583,110","528,330","17,125","23,485","7,030","6,160",505,"520,298","134,489","466,508","121,077"
Missouri's 7th,MO-07,Republican,Eric,Burlison,(AIR-ik BUR-li-suhn),/'ɛ.ɹɪk 'bɜɹ.lɪ.sən/,2022,1976,Man,White,Christian - Protestant,No,Open Seat - Ran for Senate and lost in primary (Billy Long),28.4,69.8,24.8,70.2,26.8,70.9,0,0,,,,,,85.0,5.0,2.6,1.9,4.6,0.4,90.7,3.4,2.3,1.4,2.0,0.1,"$56,419",393,"$58,873",419,26.5 ,318 ,26.8 ,366 ,66.3,33 ,230,"364,374","103,423","254,241","330,930","82,189","232,326","251,947","67,485","178,592",0,0,"5,870",,,,,,,"769,365","636,951","47,001","25,660","16,582","37,210","4,168","594,947","505,834","29,527","15,694","11,381","27,157","2,661","583,460","529,030","19,915","13,190","7,980","11,890",505,"517,944","137,421","458,570","123,009"
Missouri's 8th,MO-08,Republican,Jason,Smith,(JEY-suhn SMITH),/'dʒeɪ.sən smɪθ/,2013 Special,1980,Man,White,Christian - Evangelical Protestant - Pentecostal,No,Re-elected,23.6,75.0,22.7,73.5,21.9,76.0,0,0,,,,,,88.3,1.9,4.7,1.1,3.0,0.1,91.6,1.7,4.3,0.8,1.5,0.0,"$53,903",409,"$55,802",427,19.8 ,421 ,19.9 ,430 ,73.4,5 ,231,"366,570","86,552","274,779","343,378","77,849","252,499","245,395","53,738","186,472",0,0,"5,185",,,,,,,"769,364","668,098","18,619","42,819","9,529","24,152",916,"595,852","526,013","11,554","28,048","6,779","18,170",593,"592,200","542,525","10,070","25,295","4,500","9,170",130,"528,729","104,447","476,869","94,855"
Mississippi's 1st,MS-01,Republican,Trent,Kelly,(CHRENT KEL-ee),/tʃɹɛnt 'kɛ.li/,2015 Special,1966,Man,White,Christian - Protestant - Methodist,No,Re-elected,33.4,65.1,32.0,65.8,27.0,73.0,0,0,,,,,,66.9,3.1,27.1,1.3,1.6,0.1,68.6,1.9,27.9,0.8,0.7,0.0,"$56,871",388,"$63,517",384,23.0 ,378 ,25.6 ,386 ,51.0,131 ,220,"333,728","111,535","217,291","301,502","96,616","198,299","167,390","45,238","122,152",0,0,0,,,,,,,"740,319","478,666","28,356","211,581","9,993","11,778",711,"570,086","381,596","17,747","154,218","7,178","8,903",476,"556,810","381,715","10,665","155,440","4,390","4,020",210,"490,964","113,157","334,627","85,694"
Mississippi's 2nd,MS-02,Democratic,Bennie,Thompson,(BEN-ee TAHM-suhn),/'bɛ.ni 'tɑm.sən/,1993 Special,1948,Man,Black,Christian - Protestant - Methodist,No,Re-elected,62.5,36.4,62.3,36.4,60.1,39.9,0,0,,,,,,34.3,2.1,62.1,0.8,1.1,0.1,34.0,1.3,63.7,0.4,0.7,0.0,"$40,532",435,"$60,733",408,21.1 ,404 ,26.6 ,371 ,25.0,340 ,221,"333,247","208,159","121,206","324,055","201,803","117,922","180,169","108,285","71,884",0,0,0,,,,,,,"740,319","235,188","16,923","477,741","5,786","8,335",546,"571,715","196,358","11,932","355,293","4,341","6,097",352,"557,770","189,915","7,195","355,335","2,005","3,685",160,"490,737","103,751","172,267","45,856"
Mississippi's 3rd,MS-03,Republican,Michael,Guest,(MAHY-kuhl GEST),/'maɪ.kəl gɛst/,2018,1970,Man,White,Christian - Protestant - Baptist,No,Re-elected,37.2,61.5,35.2,62.8,29.3,70.7,0,0,,,,,,61.6,2.4,32.5,1.5,2.0,0.1,62.5,1.3,34.1,0.8,1.2,0.0,"$56,209",395,"$70,645",312,27.9 ,288 ,32.4 ,287 ,42.3,213 ,222,"345,011","128,386","212,321","317,517","111,864","199,550","187,284","54,803","132,481",0,0,0,,,,,,,"740,320","438,840","20,969","253,094","11,518","16,845",619,"568,068","350,071","13,512","184,901","8,337","11,501",432,"558,055","348,810","7,495","190,055","4,485","6,585",150,"489,643","136,378","306,706","99,232"
Mississippi's 4th,MS-04,Republican,Mike,Ezell,(MAHYK EE-zel),/maɪk 'i.zɛl/,2022,1959,Man,White,Christian - Protestant - Baptist,No,Open Seat - Lost in primary (Steven Palazzo),30.3,68.2,28.1,69.5,24.6,73.3,0,0,,,,,,68.2,4.5,22.7,2.3,2.2,0.2,71.4,3.2,22.6,1.6,1.0,0.0,"$57,460",386,"$63,306",387,23.5 ,367 ,26.0 ,379 ,52.8,116 ,223,"301,772","91,318","205,946","266,283","74,848","184,943","174,258","42,876","127,813",0,0,"3,569",,,,,,,"740,321","486,383","38,972","181,197","17,634","16,771","1,359","567,730","387,426","25,446","128,668","12,861","12,580",954,"560,255","399,805","17,905","126,620","9,130","5,450",235,"496,978","116,785","354,729","92,404"
Montana's 1st,MT-01,Republican,Ryan,Zinke,(RAHY-uhn ZIN-kee),/'ɹaɪ.ən 'zɪŋ.ki/,"2022, 2014-2017",1961,Man,White,Christian - Evangelical Protestant - Lutheran,No,Open Seat - New district following reapportionment,45.3,52.2,40.2,52.0,46.5,49.6,0,0,,,,,,86.7,3.6,0.7,1.5,6.5,0.2,89.8,3.1,0.5,1.1,5.3,0.0,"$65,994",297,"$68,000",345,37.2 ,143 ,38.1 ,203 ,55.6,92 ,232,"316,603","143,417","165,189","252,194","101,340","131,085","247,960","115,265","123,102",0,0,"9,593",,,,,,,"542,112","459,816","22,181","5,120","9,018","40,729","1,406","432,021","374,714","15,436","3,109","6,308","27,900",952,"432,935","388,885","13,375","2,040","4,855","22,870",185,"381,407","142,012","337,814","128,770"
Montana's 2nd,MT-02,Republican,Matt,Rosendale,(MAT ROH-zuhn-deyl),mæt 'ɹou.zən.deɪl,2020,1960,Man,White,Christian - Roman Catholic,No,Re-elected,35.3,62.2,31.5,61.1,20.2,56.6,0,0,,,,,,84.4,3.5,1.0,1.3,9.1,0.2,86.8,3.5,0.8,0.8,7.8,0.1,"$69,884",248,"$71,243",305,30.7 ,246 ,32.3 ,290 ,58.8,71 ,233,"287,037","101,369","178,413","242,332","76,369","148,155","215,672","43,480","121,979",0,0,"50,213",,,,,,,"542,113","441,502","23,018","7,617","7,871","59,849","1,695","418,102","352,839","14,472","4,333","5,247","38,234","1,016","416,965","361,980","14,520","3,535","3,265","32,475",265,"376,793","115,615","326,620","105,473"
North Carolina's 1st,NC-01,Democratic,Don,Davis,(DAHN DEY-vis),/dɑn 'deɪ.vɪs/,2022,1971,Man,Black,Christian - Protestant - Presbyterian,No,Open Seat - Retired (G.K. Butterfield),53.2,45.9,53.6,43.8,52.4,47.6,0,0,,,,,,50.1,5.9,41.2,1.3,2.2,0.1,52.1,3.2,42.4,0.9,1.4,0.0,"$53,854",410,"$66,847",366,22.0 ,395 ,28.5 ,339 ,37.2,261 ,284,"391,721","208,362","179,762","362,401","194,354","158,663","257,776","134,996","122,780",0,0,0,,,,,,,"745,670","353,478","53,419","317,611","10,252","17,101","1,126","587,954","294,407","34,475","242,428","7,455","12,759",775,"572,545","298,100","18,415","242,945","4,870","7,900",240,"513,999","113,169","261,922","74,595"
North Carolina's 2nd,NC-02,Democratic,Deborah,Ross,(DEB-ruh RAWS),/'dɛb.ɹə ɹɔs/,2020,1963,Woman,White,Unitarian Universalist,No,Re-elected,63.6,34.8,58.2,36.2,64.7,35.3,0,0,,,,,,60.1,9.3,18.2,11.1,1.7,0.2,67.1,5.9,19.2,6.9,0.6,0.0,"$96,138",70,"$105,975",65,59.1 ,14 ,65.0 ,22 ,23.5,350 ,285,"415,588","264,326","144,747","351,503","204,617","127,311","294,869","190,714","104,155",0,0,0,,,,,,,"745,671","424,954","79,688","142,141","90,548","13,730","1,254","573,899","344,999","53,463","104,319","63,761","9,873",868,"521,255","349,585","30,530","100,105","36,150","3,220",145,"505,436","298,641","314,378","204,298"
North Carolina's 3rd,NC-03,Republican,Greg,Murphy,(GREG MUR-fee),/gɹɛg 'mɜɹ.fi/,2019 Special,1963,Man,White,Christian - Roman Catholic,No,Re-elected,36.7,62.0,35.3,61.4,33.1,66.9,0,0,,,,,,67.4,9.3,18.9,2.2,2.5,0.3,70.6,6.7,19.5,1.6,1.2,0.1,"$61,546",351,"$70,050",322,24.1 ,353 ,28.2 ,348 ,50.7,137 ,286,"366,703","134,418","227,413","318,987","112,740","195,882","248,898","82,378","166,520",0,0,0,,,,,,,"745,670","480,017","83,460","149,319","18,431","20,052","2,820","585,030","394,297","54,635","110,504","12,844","14,433","1,964","559,655","395,105","37,280","109,390","8,760","6,860",625,"491,849","118,713","340,048","95,762"
North Carolina's 4th,NC-04,Democratic,Valerie,Foushee,(VAL-er-ee foo-SHEE),/'væ.lə.ɹi fu.'ʃi/,2022,1956,Woman,Black,Christian - Protestant - Baptist,No,Open Seat - Retired (David Price),66.9,31.9,65.0,31.0,66.9,33.1,0,0,,,,,,55.6,10.9,26.6,5.4,2.2,0.1,61.8,5.0,28.3,3.6,1.1,0.1,"$74,019",204,"$87,947",172,43.7 ,84 ,51.2 ,76 ,30.2,302 ,287,"403,834","270,350","128,689","356,967","231,967","110,638","291,425","194,983","96,442",0,0,0,,,,,,,"745,670","391,874","99,043","204,569","40,511","17,518",979,"592,756","329,839","64,683","157,891","31,762","12,789",672,"546,210","337,640","27,485","154,580","19,835","5,775",300,"505,641","221,081","296,905","151,935"
North Carolina's 5th,NC-05,Republican,Virginia,Foxx,(ver-JIN-yuh FAHKS),/vəɹ.'dʒɪn.jə fɑks/,2004,1943,Woman,White,Christian - Roman Catholic,No,Re-elected,38.8,60.1,36.7,59.2,36.8,63.2,0,0,,,,,,75.7,8.2,12.5,1.8,2.1,0.1,81.4,4.1,12.5,1.0,0.9,0.1,"$54,503",405,"$58,497",420,27.2 ,304 ,28.7 ,338 ,58.0,79 ,288,"403,376","156,406","242,318","356,823","130,876","211,069","277,548","102,269","175,279",0,0,0,,,,,,,"745,670","541,874","76,259","99,733","14,598","16,887","1,093","595,196","450,465","48,509","74,482","10,675","12,667",714,"570,490","464,105","23,305","71,505","5,480","4,925",455,"518,222","141,188","410,227","117,627"
North Carolina's 6th,NC-06,Democratic,Kathy,Manning,(KATH-ee MAN-ing),/'kæ.θi 'mæ.nɪŋg/,2020,1956,Woman,White,Jewish,No,Re-elected,55.6,43.2,53.4,42.9,53.9,45.0,0,0,,,,,,54.7,8.0,31.7,4.3,2.1,0.1,58.6,4.5,32.9,2.9,1.0,0.0,"$61,429",352,"$72,539",290,32.9 ,200 ,38.0 ,205 ,36.3,265 ,289,"391,460","217,771","169,196","352,769","188,247","151,426","258,998","139,553","116,635",0,0,"2,810",,,,,,,"745,670","382,880","72,367","246,160","35,617","16,932","1,033","584,671","319,769","46,512","185,050","25,361","12,383",724,"549,560","321,895","24,960","180,625","15,895","5,265",175,"502,523","165,417","287,851","109,444"
North Carolina's 7th,NC-07,Republican,David,Rouzer,(DEY-vid ROU-zer),/'deɪ.vɪd 'ɹaʊ.zəɹ/,2014,1972,Man,White,Christian - Protestant - Baptist,No,Re-elected,43.1,55.8,41.7,54.6,42.3,57.7,0,0,,,,,,64.9,6.3,19.0,1.6,8.6,0.2,68.1,3.8,19.2,1.1,7.8,0.0,"$62,763",331,"$71,095",307,29.8 ,255 ,34.9 ,252 ,44.3,189 ,290,"407,784","175,561","227,500","340,972","142,303","186,311","284,269","120,222","164,047",0,0,0,,,,,,,"745,671","458,210","58,252","152,193","13,387","69,624","1,821","594,014","385,519","37,158","112,934","9,487","50,982","1,206","583,835","397,385","22,455","112,205","6,140","45,290",185,"529,075","157,719","355,782","124,279"
North Carolina's 8th,NC-08,Republican,Dan,Bishop,(DAN BISH-uhp),/dæn 'bɪ.ʃəp/,2019 Special,1964,Man,White,Christian - Protestant,No,Re-elected,32.4,66.5,30.1,66.4,30.1,69.9,0,0,,,,,,72.7,8.2,14.5,2.4,2.4,0.1,77.6,4.2,15.3,1.9,0.9,0.0,"$69,466",255,"$71,496",303,25.9 ,327 ,27.5 ,357 ,56.2,88 ,291,"392,695","127,233","261,100","332,317","100,173","220,513","263,190","79,192","183,998",0,0,0,,,,,,,"745,671","519,083","75,294","114,259","20,443","18,745",900,"569,673","414,027","46,621","82,479","13,481","13,515",586,"547,380","424,595","23,250","84,015","10,205","5,180",75,"509,031","131,775","382,457","105,181"
North Carolina's 9th,NC-09,Republican,Richard,Hudson,(RICH-erd HUHD-suhn),/'ɹɪ.tʃəɹd 'hʌd.sən/,2012,1971,Man,White,Christian - Protestant,No,Re-elected,45.3,53.3,44.1,52.3,43.5,56.5,0,0,,,,,,59.0,10.7,24.6,2.8,3.8,0.4,62.8,7.4,24.9,2.0,2.6,0.2,"$62,661",332,"$72,506",291,27.7 ,291 ,31.6 ,303 ,43.0,202 ,292,"355,924","161,394","189,812","304,888","134,316","159,379","232,655","101,202","131,453",0,0,0,,,,,,,"745,672","414,600","95,725","192,995","22,561","31,239","3,565","570,806","336,655","61,245","140,246","15,819","21,872","2,178","543,580","341,595","40,240","135,240","10,660","13,935",905,"496,840","137,668","305,906","96,611"
North Carolina's 10th,NC-10,Republican,Patrick,McHenry,(PA-chrik muhk-HEN-ree),/'pæ.tʃɹɪk mək.'hɛn.ɹi/,2004,1975,Man,White,Christian - Roman Catholic,No,Re-elected,29.7,69.2,28.2,68.3,27.3,72.6,0,0,,,,,,78.5,6.3,10.5,2.4,2.3,0.1,82.8,3.8,10.6,1.9,0.8,0.0,"$64,668",309,"$69,967",325,24.2 ,351 ,25.8 ,383 ,61.4,56 ,293,"396,532","117,768","274,564","335,939","94,834","229,475","268,207","73,174","194,681",0,0,352,,,,,,,"745,670","564,581","57,487","85,787","21,145","18,571",911,"585,700","459,914","36,793","61,577","14,150","13,609",631,"570,310","472,205","21,565","60,420","11,075","4,355",160,"527,246","127,793","427,525","110,317"
North Carolina's 11th,NC-11,Republican,Chuck,Edwards,(CHUHK ED-werdz),/tʃʌk 'ed.wəɹdz/,2022,1960,Man,White,Christian - Protestant - Nondenominational,No,Open Seat - Lost in primary (Madison Cawthorn),44.3,54.4,40.1,55.2,44.5,53.8,0,0,,,,,,84.7,6.2,4.0,1.3,3.5,0.2,89.6,3.1,4.1,1.0,2.0,0.0,"$62,261",336,"$63,788",383,33.9 ,184 ,35.6 ,237 ,57.7,80 ,294,"434,463","192,266","236,408","374,735","150,104","206,800","323,912","144,165","174,232",0,0,"5,515",,,,,,,"745,671","612,896","56,762","34,267","11,004","29,170","1,948","609,830","516,278","37,585","24,465","7,885","21,471","1,332","593,390","531,555","18,500","24,620","5,665","12,085",290,"553,968","187,573","487,684","173,526"
North Carolina's 12th,NC-12,Democratic,Alma,Adams,(AL-muh AD-umz),/'æl.mə 'æ.ɾəmz/,2014 Special,1946,Woman,Black,Christian - Protestant - Baptist,No,Re-elected,64.4,34.2,60.2,35.6,62.7,37.3,0,0,,,,,,43.7,13.3,36.0,6.1,2.0,0.1,49.9,6.8,38.8,3.6,0.7,0.0,"$73,841",208,"$93,244",129,39.3 ,122 ,46.5 ,119 ,26.7,330 ,295,"365,540","235,499","125,190","305,858","184,230","108,737","223,908","140,494","83,414",0,0,0,,,,,,,"745,671","302,853","114,645","274,849","48,463","16,067","1,159","564,821","247,084","75,014","203,130","34,463","11,544",795,"509,125","253,965","34,475","197,600","18,325","3,760",135,"491,693","193,459","229,655","106,676"
North Carolina's 13th,NC-13,Democratic,Wiley,Nickel,(WAHY-lee NIK-uhl),/'waɪ.li 'nɪ.kəl/,2022,1975,Man,White,Christian - Protestant,No,Open Seat - Elected to Senate (Ted Budd),50.1,48.4,46.6,49.0,51.6,48.4,0,0,,,,,,61.8,11.2,22.0,3.3,2.2,0.2,66.9,5.9,23.8,2.1,1.1,0.1,"$82,201",146,"$94,298",120,36.5 ,153 ,42.5 ,151 ,38.5,251 ,296,"395,781","198,303","191,581","323,329","150,800","158,351","277,346","143,090","134,256",0,0,0,,,,,,,"745,670","439,262","100,324","167,817","26,773","17,491","1,283","559,753","345,730","62,775","123,379","18,413","12,281",841,"537,300","359,670","31,890","127,795","11,515","5,960",290,"507,222","185,077","326,220","138,651"
North Carolina's 14th,NC-14,Democratic,Jeff,Jackson,(JEF JAK-suhn),/dʒɛf 'dʒæk.sən/,2022,1982,Man,White,Christian - Protestant - Presbyterian,No,Open Seat - New district following reapportionment,57.5,41.1,52.4,42.6,57.7,42.3,0,0,,,,,,60.4,11.2,20.7,6.3,1.9,0.1,65.4,6.4,23.1,4.0,0.8,0.0,"$81,717",151,"$97,691",99,48.1 ,52 ,55.6 ,48 ,29.0,310 ,297,"390,605","224,581","160,492","323,840","169,545","138,055","257,752","148,738","109,014",0,0,0,,,,,,,"745,671","425,586","95,871","162,853","51,716","15,152","1,065","580,996","350,650","64,843","120,168","36,849","11,181",725,"529,680","346,175","34,005","122,325","21,095","4,370",240,"519,367","249,617","319,819","177,768"
North Dakota's At-Large,ND-AL,Republican,Kelly,Armstrong,(KEL-ee AHRM-strawng),/'kɛ.li 'ɑɹm.stɹɔŋg/,2018,1976,Man,White,Christian - Protestant - Lutheran,No,Re-elected,31.9,65.5,27.7,64.1,0,62.2,37.6,0,,,,,,84.4,3.6,3.6,2.2,5.9,0.2,88.3,3.2,2.3,1.0,5.1,0.1,"$71,970",227,"$76,600",250,31.4 ,229 ,32.4 ,286 ,59.7,66 ,298,"359,890","114,902","235,595","337,963","93,758","216,794","238,586",0,"148,399","89,644",0,543,,,,,,,"779,094","636,160","33,412","34,499","18,675","55,777","2,086","596,093","503,153","21,603","21,444","13,192","35,031","1,361","575,815","508,645","18,165","13,220","5,475","29,080",800,"506,256","159,094","438,465","142,083"
Nebraska's 1st,NE-01,Republican,Mike,Flood,(MAHYK FLUHD),/maɪk flʌd/,2022 Special,1975,Man,White,Christian - Roman Catholic,No,Re-elected,43.3,54.3,37.6,55.9,42.1,57.9,0,0,,,,,,81.1,9.0,4.0,3.7,2.1,0.2,86.3,6.5,3.3,2.6,1.0,0.1,"$74,193",202,"$75,102",263,35.3 ,166 ,37.3 ,216 ,54.1,108 ,234,"316,440","136,956","171,957","271,143","101,993","151,680","223,165","93,929","129,236",0,0,0,,,,,,,"653,822","509,174","71,208","33,246","25,567","16,109","1,381","495,560","401,792","44,433","19,981","18,138","10,566",898,"475,335","410,165","30,920","15,650","12,315","4,650",370,"419,354","148,128","349,947","130,404"
Nebraska's 2nd,NE-02,Republican,Don,Bacon,(DAHN BEY-kuhn),/dɑn 'beɪ.kən/,2016,1963,Man,White,Christian - Protestant,No,Re-elected,52.2,45.8,46.2,48.1,48.7,51.3,0,0,,,,,,71.9,10.6,10.5,4.9,2.3,0.2,79.5,6.9,9.8,2.6,0.8,0.0,"$77,535",182,"$85,416",184,41.6 ,96 ,46.5 ,118 ,42.6,207 ,235,"312,940","163,239","143,429","265,036","122,402","127,556","219,470","106,807","112,663",0,0,0,,,,,,,"653,847","443,338","83,564","78,430","35,895","17,015","1,391","484,492","348,415","51,311","50,868","23,937","11,089",922,"452,380","359,810","31,210","44,520","11,855","3,830",130,"425,488","176,920","322,812","149,981"
