district_id,cvap,vintage_end_year,is_post_redistricting
WA-09,464790,2016,False
WA-10,511110,2016,False
WV-01,491170,2016,False
WV-02,485510,2016,False
WV-03,476530,2016,False
WI-01,529810,2016,False
WI-02,550465,2016,False
WI-03,558335,2016,False
WI-04,493865,2016,False
WI-05,546590,2016,False
WI-06,546370,2016,False
WI-07,546440,2016,False
WI-08,541425,2016,False
WY-00,432375,2016,False
AL-01,530645,2017,False
AL-02,515205,2017,False
AL-03,534930,2017,False
AL-04,509310,2017,False
AL-05,535060,2017,False
AL-06,515395,2017,False
AL-07,511365,2017,False
AK-00,530555,2017,False
AZ-01,536755,2017,False
AZ-02,534865,2017,False
AZ-03,460055,2017,False
AZ-04,567965,2017,False
AZ-05,541035,2017,False
AZ-06,552375,2017,False
AZ-07,401250,2017,False
AZ-08,562390,2017,False
AZ-09,533490,2017,False
AR-01,546935,2017,False
AR-02,560775,2017,False
AR-03,539385,2017,False
AR-04,536795,2017,False
CA-01,543075,2017,False
CA-02,525290,2017,False
CA-03,491110,2017,False
CA-04,547635,2017,False
CA-05,509230,2017,False
CA-06,484795,2017,False
CA-07,519080,2017,False
CA-08,475430,2017,False
CA-09,464385,2017,False
CA-10,461580,2017,False
CA-11,492650,2017,False
CA-12,561595,2017,False
CA-13,511635,2017,False
CA-14,495175,2017,False
CA-15,476685,2017,False
CA-16,397920,2017,False
CA-17,436275,2017,False
CA-18,479055,2017,False
CA-19,469095,2017,False
CA-20,428740,2017,False
CA-21,347435,2017,False
CA-22,464890,2017,False
CA-23,484215,2017,False
CA-24,503125,2017,False
CA-25,472165,2017,False
CA-26,463600,2017,False
CA-27,485025,2017,False
CA-28,499835,2017,False
CA-29,390325,2017,False
CA-30,517545,2017,False
CA-31,464870,2017,False
CA-32,447890,2017,False
CA-33,523840,2017,False
CA-34,372470,2017,False
CA-35,420860,2017,False
CA-36,475940,2017,False
CA-37,458875,2017,False
CA-38,468270,2017,False
CA-39,482570,2017,False
CA-40,321965,2017,False
CA-41,448310,2017,False
CA-42,503635,2017,False
CA-43,434580,2017,False
CA-44,384625,2017,False
CA-45,514320,2017,False
CA-46,369585,2017,False
CA-47,470175,2017,False
CA-48,521190,2017,False
CA-49,513005,2017,False
CA-50,494040,2017,False
CA-51,410895,2017,False
CA-52,536420,2017,False
CA-53,533165,2017,False
CO-01,570260,2017,False
CO-02,598615,2017,False
CO-03,544255,2017,False
CO-04,543320,2017,False
CO-05,566430,2017,False
CO-06,525855,2017,False
CO-07,544625,2017,False
CT-01,518845,2017,False
CT-02,549475,2017,False
CT-03,532760,2017,False
CT-04,480920,2017,False
CT-05,517790,2017,False
DE-00,697330,2017,False
DC-98,503110,2017,False
FL-01,570830,2017,False
FL-02,554155,2017,False
FL-03,548400,2017,False
FL-04,574710,2017,False
FL-05,531955,2017,False
FL-06,586755,2017,False
FL-07,560790,2017,False
FL-08,571535,2017,False
FL-09,550770,2017,False
FL-10,515065,2017,False
FL-11,605195,2017,False
FL-12,572210,2017,False
FL-13,561595,2017,False
FL-14,523025,2017,False
FL-15,544745,2017,False
FL-16,577385,2017,False
FL-17,576705,2017,False
FL-18,558725,2017,False
FL-19,577245,2017,False
FL-20,471830,2017,False
FL-21,523250,2017,False
FL-22,519945,2017,False
FL-23,501085,2017,False
FL-24,446300,2017,False
FL-25,427030,2017,False
FL-26,464775,2017,False
FL-27,445380,2017,False
GA-01,532430,2017,False
GA-02,501485,2017,False
GA-03,525050,2017,False
GA-04,493615,2017,False
GA-05,555395,2017,False
GA-06,475290,2017,False
GA-07,464120,2017,False
GA-08,515415,2017,False
GA-09,518335,2017,False
GA-10,537120,2017,False
GA-11,514490,2017,False
GA-12,526495,2017,False
GA-13,499295,2017,False
GA-14,497440,2017,False
HI-01,507025,2017,False
HI-02,509445,2017,False
ID-01,612000,2017,False
ID-02,556170,2017,False
IL-01,525745,2017,False
IL-02,509410,2017,False
IL-03,477210,2017,False
IL-04,373010,2017,False
IL-05,536080,2017,False
IL-06,515825,2017,False
IL-07,520590,2017,False
IL-08,447290,2017,False
IL-09,504925,2017,False
IL-10,460290,2017,False
IL-11,464275,2017,False
IL-12,536135,2017,False
IL-13,540110,2017,False
IL-14,513245,2017,False
IL-15,538225,2017,False
IL-16,524600,2017,False
IL-17,517190,2017,False
IL-18,539370,2017,False
IN-01,531475,2017,False
IN-02,518755,2017,False
IN-03,530120,2017,False
IN-04,545690,2017,False
IN-05,553200,2017,False
IN-06,545595,2017,False
IN-07,512115,2017,False
IN-08,550550,2017,False
IN-09,562840,2017,False
IA-01,578035,2017,False
IA-02,579215,2017,False
IA-03,581920,2017,False
IA-04,563320,2017,False
KS-01,505535,2017,False
KS-02,536195,2017,False
KS-03,516500,2017,False
KS-04,511105,2017,False
KY-01,548805,2017,False
KY-02,560165,2017,False
KY-03,549325,2017,False
KY-04,556095,2017,False
KY-05,546520,2017,False
KY-06,564230,2017,False
LA-01,587030,2017,False
LA-02,584290,2017,False
LA-03,571620,2017,False
LA-04,563990,2017,False
LA-05,562675,2017,False
LA-06,578030,2017,False
ME-01,534990,2017,False
ME-02,520140,2017,False
MD-01,557400,2017,False
MD-02,542560,2017,False
MD-03,544960,2017,False
MD-04,493125,2017,False
MD-05,547870,2017,False
MD-06,518555,2017,False
MD-07,536045,2017,False
