district_id,d_votes,r_votes
MA-06,283226,158963
MA-07,269381,41245
MA-08,277534,130407
MA-09,266296,183101
MD-01,171268,230930
MD-02,232384,150927
MD-03,255249,149743
MD-04,271589,26247
MD-05,280898,128846
MD-06,200375,163848
MD-07,251751,54327
MD-08,321508,71547
ME-01,258001,159932
ME-02,177070,200803
MI-01,182977,274971
MI-02,145196,262155
MI-03,222098,186701
MI-04,196696,213155
MI-05,150368,248430
MI-06,286146,164381
MI-07,219465,217141
MI-08,215710,207003
MI-09,160590,297475
MI-10,209969,214177
MI-11,273915,182229
MI-12,285642,97508
MI-13,252697,83907
MN-01,172285,208058
MN-02,221003,190819
MN-03,258543,167402
MN-04,268967,119722
MN-05,319407,69135
MN-06,165862,238872
MN-07,128550,260007
MN-08,182461,230050
MO-01,278269,71037
MO-02,198823,232845
MO-03,142584,247108
MO-04,109920,257315
MO-05,217895,125686
MO-06,115548,255727
MO-07,103423,254241
MO-08,86552,274779
MS-01,111535,217291
MS-02,208159,121206
MS-03,128386,212321
MS-04,91318,205946
MT-01,143417,165189
MT-02,101369,178413
NC-01,208362,179762
NC-02,264326,144747
NC-03,134418,227413
NC-04,270350,128689
NC-05,156406,242318
NC-06,217771,169196
NC-07,175561,227500
NC-08,127233,261100
NC-09,161394,189812
NC-10,117768,274564
NC-11,192266,236408
NC-12,235499,125190
NC-13,198303,191581
NC-14,224581,160492
ND-00,114902,235595
NE-01,136956,171957
NE-02,163239,143429
NE-03,74388,241459
NH-01,210310,186410
NH-02,214627,179250
NJ-01,247693,149375
NJ-02,192481,212664
NJ-03,248284,186603
NJ-04,163106,259059
NJ-05,240209,186611
NJ-06,197825,133268
NJ-07,235951,218151
NJ-08,173894,64633
NJ-09,185603,126054
NJ-10,234076,53928
NJ-11,252859,178835
NJ-12,236355,114094
NM-01,201158,149225
NM-02,137449,121889
NM-03,163007,130780
NV-01,172621,144973
NV-02,173063,217348
NV-03,190167,166069
NV-04,167635,141501
NY-01,212149,211235
NY-02,175559,180971
NY-03,213371,180840
NY-04,223911,166541
NY-05,216606,49624
NY-06,155614,82742
NY-07,207220,46703
NY-08,195053,59000
NY-09,202874,64228
NY-10,244521,39875
NY-11,134699,157207
NY-12,291127,47209
NY-13,242303,30463
NY-14,181167,49634
NY-15,182738,31734
NY-16,233157,90387
NY-17,210394,171537
NY-18,193329,163061
NY-19,193524,176069
NY-20,225895,151958
NY-21,156072,201174
NY-22,195813,168087
NY-23,162324,231453
NY-24,150948,215448
NY-25,228228,151739
NY-26,216297,133086
OH-01,220131,185305
OH-02,100787,272326
OH-03,271653,104526
OH-04,125753,268732
OH-05,142103,248389
OH-06,139489,254100
OH-07,192588,232245
OH-08,153374,241662
OH-09,186080,197465
OH-10,185657,199447
OH-11,280537,74103
OH-12,131512,251592
OH-13,205953,194497
OH-14,172806,234505
OH-15,170743,195940
OK-01,121877,190291
OK-02,71996,243602
OK-03,72507,194433
OK-04,101711,199240
OK-05,135799,192715
OR-01,268141,113977
OR-02,139315,232311
OR-03,280510,97552
OR-04,224343,172448
OR-05,225723,188094
OR-06,202351,154067
PA-01,241484,219852
PA-02,221374,88089
PA-03,357581,36721
PA-04,269159,182686
PA-05,276153,140480
PA-06,235154,174191
PA-07,197117,194660
PA-08,183189,194267
PA-09,119969,261281
PA-10,188632,205148
PA-11,153327,237723
PA-12,255322,169617
PA-13,107198,288121
PA-14,138892,268695
PA-15,119459,263001
PA-16,158730,242664
PA-17,237707,211205
RI-01,152956,83225
RI-02,154530,116697
SC-01,171781,204848
SC-02,161002,199780
SC-03,106461,236981
SC-04,138171,202545
SC-05,147073,213484
SC-06,219768,111769
SC-07,147285,215696
SD-00,150471,261043
TN-01,74136,256544
TN-02,122695,226798
TN-03,115371,226469
TN-04,98034,220498
TN-05,157606,198784
TN-06,120181,221681
TN-07,135634,185342
TN-08,110189,244389
TN-09,209865,71971
TX-01,86340,235935
TX-02,121722,194830
TX-03,152283,204522
TX-04,125331,214733
TX-05,113821,180707
TX-06,105417,172963
TX-07,179327,96257
TX-08,111737,196658
TX-09,195428,58355
TX-10,135094,198897
TX-11,77977,186084
TX-12,130235,189089
TX-13,79206,215372
TX-14,110036,199675
TX-15,109177,115722
TX-16,163505,76976
TX-17,114751,182847
TX-18,177368,60370
TX-19,73174,202461
TX-20,172367,85595
TX-21,164213,246263
TX-22,138254,191937
TX-23,134552,155681
TX-24,168124,216345
TX-25,112309,215979
TX-26,144823,211963
TX-27,109720,174253
TX-28,131726,114184
TX-29,118450,54253
TX-30,217199,58708
TX-31,133165,202406
TX-32,172823,86040
TX-33,139290,45685
TX-34,116856,85153
TX-35,187900,69342
TX-36,102316,198540
TX-37,289226,86849
TX-38,143907,208722
UT-01,142221,216685
UT-02,143194,205210
UT-03,149658,224849
UT-04,125210,218396
VA-01,215574,244413
VA-02,201896,194173
VA-03,230576,101134
VA-04,260886,122375
VA-05,194989,230682
VA-06,133543,208274
VA-07,204951,178472
VA-08,305118,84142
VA-09,114163,282093
VA-10,238976,164941
VA-11,295688,121172
VT-00,242820,112704
WA-01,250877,130740
WA-02,263073,162798
WA-03,196218,213902
WA-04,130107,184863
WA-05,180838,222224
WA-06,253641,177178
WA-07,395386,51351
WA-08,226804,197508
WA-09,255762,94177
WA-10,216906,149910
WI-01,190050,197950
WI-02,310866,125928
WI-03,185088,203589
WI-04,260145,78292
WI-05,175986,282390
WI-06,171949,237088
WI-07,165850,250173
WI-08,170932,234773
WV-01,112947,273523
WV-02,123037,271859
WY-00,73491,193559
